,full_name,take_rv,swing_rv,swing_decision_rv
12,Freddie Freeman,122.591705,124.78495747290116,123.68833123645058
13,Andrew McCutchen,122.42905,124.92706435897756,123.67805717948877
2,Bryce Harper,134.94955,106.26803183522009,120.60879091761004
10,Willson Contreras,122.80021,114.42497325919928,118.61259162959965
21,Vladimir Guerrero,118.69342,118.01493119951888,118.35417559975944
53,Marcus Semien,107.67432,125.77154490546548,116.72293245273273
0,Kyle Tucker,146.88034,85.36428054876784,116.12231027438392
15,Bryan Reynolds,120.45941,111.363012724524,115.91121136226201
17,JJ Bleday,120.230385,110.09163491381187,115.16100995690593
83,Brenton Doyle,99.38411,130.78015513425282,115.08213256712642
66,Lawrence Butler,103.48376,124.6470126558486,114.0653863279243
22,Corey Seager,118.44556,109.20567925933828,113.82561962966915
23,Jared Triolo,117.40474,109.72296236459282,113.56385118229642
1,Brandon Nimmo,135.44702,91.44387354767171,113.44544677383587
7,William Contreras,124.6325,101.12871149943004,112.88060574971502
28,Jurickson Profar,115.43102,110.1621754383232,112.79659771916161
50,Brayan Rocchio,108.9324,115.47867403692686,112.20553701846343
6,Jorge Polanco,124.67981,99.67797299064948,112.17889149532473
26,Mookie Betts,116.84202,105.79424250334034,111.31813125167017
41,Mark Canha,111.83872,110.51343095535516,111.17607547767759
29,Jake Cronenworth,115.40406,106.83575201636108,111.11990600818055
127,Steven Kwan,92.54138,129.47279278539855,111.00708639269928
3,Juan Soto,126.6667,94.9432547989538,110.80497739947691
11,Mike Tauchman,122.60243,98.9812628712148,110.7918464356074
167,Brandon Marsh,80.66092,140.8583995202547,110.75965976012735
9,Marcell Ozuna,123.13906,97.65877467510964,110.39891733755482
59,Bryson Stott,105.54338,114.85547579235028,110.19942789617514
64,Dansby Swanson,103.643364,116.23964552939414,109.94150476469707
73,Fernando Tatís,102.08966,117.51930139433296,109.80448069716647
133,Gleyber Torres,90.6781,128.53640109292968,109.60725054646484
74,Masyn Winn,101.89019,117.08400797871676,109.48709898935837
118,Nolan Schanuel,93.58165,125.15590912148248,109.36877956074125
25,Leody Taveras,116.99295,101.62916922773069,109.31105961386534
19,Nolan Gorman,119.45805,98.63911137460713,109.04858068730357
99,Alex Bregman,97.28105,120.53042385346195,108.90573692673098
14,José Altuve,121.67298,96.11853718626104,108.89575859313052
18,Christian Walker,119.93591,97.0188316773069,108.47737083865346
24,Colton Cowser,117.36252,99.08630426467508,108.22441213233753
67,Brice Turang,103.36505,112.06729278011515,107.71617139005758
128,Jeimer Candelario,92.1216,123.04551976874546,107.58355988437273
47,Kyle Schwarber,109.43761,105.24473218443306,107.34117109221654
35,Ian Happ,112.90052,101.63847361907504,107.26949680953751
126,Spencer Torkelson,92.62649,120.99697386013104,106.81173193006552
65,Jack Suwinski,103.488846,109.68032916791614,106.58458758395807
45,Anthony Volpe,109.78291,103.04747436845967,106.41519218422984
87,Ha-Seong Kim,98.99148,113.70672129502564,106.34910064751281
63,Jeff McNeil,104.12244,108.55124360080993,106.33684180040495
72,Anthony Rizzo,102.19396,110.44419974410694,106.31907987205346
42,Jazz Chisholm,111.37784,101.17557399937702,106.27670699968851
55,George Springer,106.82256,105.72477933964488,106.27366966982244
100,Carlos Santana,96.83239,115.61053908693268,106.22146454346634
96,Jarren Duran,97.957924,114.26466633643092,106.11129516821546
30,Rafael Devers,114.929695,97.1129744728188,106.0213347364094
136,Tyler Freeman,89.80024,122.19992062696872,106.00008031348436
5,Josh Naylor,124.97762,86.92178427352876,105.94970213676439
93,Josh Smith,98.69254,113.10589192549644,105.89921596274822
44,Jonathan India,110.447395,100.68353820582598,105.56546660291299
155,Andrés Giménez,84.50619,126.58384651274233,105.54501825637116
85,Ryan McMahon,99.00509,112.00230500347394,105.50369750173697
82,Ezequiel Tovar,99.52742,111.21067333925804,105.36904666962903
62,Francisco Lindor,104.284546,106.21468361990289,105.24961480995145
49,Daulton Varsho,109.24154,100.8175127118483,105.02952635592415
131,José Caballero,91.20872,118.82296401253672,105.01584200626836
70,Adolis García,102.580505,106.78020871089198,104.68035685544599
81,Jesse Winker,99.81281,109.4751796683236,104.6439948341618
164,Tim Anderson,82.333336,126.7631674660295,104.54825173301475
61,Corbin Carroll,104.73036,103.84415586903675,104.28725793451838
107,Ryan Jeffers,95.43495,113.07917661147285,104.25706330573642
58,Luis Arráez,105.650986,102.74360499805296,104.19729549902648
48,Brent Rooker,109.37618,98.26766074225164,103.82192037112583
111,Bo Naylor,94.56099,112.74296634833952,103.65197817416976
80,Edouard Julien,100.03082,106.39134585892327,103.21108292946164
122,Brendan Rodgers,92.94541,112.97662735014116,102.96101867507058
32,Vinnie Pasquantino,114.34405,91.50016529399396,102.92210764699698
165,J. T. Realmuto,82.31306,122.54840179139528,102.43073089569764
94,Tyler O'Neill,98.22192,106.07027588685062,102.1460979434253
52,Yandy Díaz,108.1028,96.16938329534484,102.13609164767243
172,Jung Hoo Lee,77.29571,126.84572498992608,102.07071749496305
79,Matt Olson,100.45211,103.66156207694584,102.05683603847292
33,Austin Riley,113.7144,90.25878512533232,101.98659256266616
84,Jorge Soler,99.1502,104.70981383056838,101.9300069152842
76,Brendan Donovan,101.369026,101.362745371603,101.3658856858015
92,Will Smith,98.74612,103.63838081004782,101.19225040502391
132,Ketel Marte,90.8868,111.31636791785608,101.10158395892805
16,Ronald Acuña,120.36901,81.03622585017929,100.70261792508964
