,full_name,batter,y_pred,swing_rv
189,Brandon Marsh,669016,-0.004155436122269639,140.8583995202547
188,Brenton Doyle,686668,-0.006118509734103119,130.78015513425282
187,Steven Kwan,680757,-0.006373162075309009,129.47279278539855
186,Gleyber Torres,650402,-0.0065555555310957,128.53640109292968
185,Jung Hoo Lee,808982,-0.006884870986927833,126.84572498992608
184,Tim Anderson,641313,-0.006900951813152369,126.7631674660295
183,Andrés Giménez,665926,-0.00693588053862918,126.58384651274233
182,Marcus Semien,543760,-0.007094103319206909,125.77154490546549
181,Paul DeJong,657557,-0.007176059296316891,125.35079024744911
180,Nolan Schanuel,694384,-0.007214018883441097,125.15590912148248
179,Andrew McCutchen,457705,-0.0072585940194740866,124.92706435897755
178,Freddie Freeman,518692,-0.0072862740664576525,124.78495747290116
177,Lawrence Butler,671732,-0.007313143411938216,124.64701265584861
176,Ceddanne Rafaela,678882,-0.0075243789035987834,123.56254853024504
175,Jeimer Candelario,600869,-0.007625087467450291,123.04551976874546
174,Starling Marte,516782,-0.007681140620619156,122.75774789262402
173,J. T. Realmuto,592663,-0.007721917743233205,122.54840179139528
172,Tyler Freeman,671289,-0.007789796051389429,122.19992062696873
171,Spencer Torkelson,679529,-0.008024109981869169,120.99697386013105
170,Alex Bregman,608324,-0.008114986127715058,120.53042385346195
169,José Caballero,676609,-0.008447570775259554,118.82296401253673
168,Vladimir Guerrero,665489,-0.008604962066041718,118.01493119951887
167,Fernando Tatís,665487,-0.008701502470752482,117.51930139433297
166,Masyn Winn,691026,-0.008786290354918885,117.08400797871677
165,Justin Turner,457759,-0.00885199204306324,116.74670138679878
164,Brandon Drury,592273,-0.008859433388868196,116.7084981828379
163,Elías Díaz,553869,-0.008928276536755927,116.35506361750532
162,Dansby Swanson,621020,-0.008950758051831513,116.23964552939414
161,Carlos Santana,467793,-0.00907329747525985,115.61053908693268
160,Brayan Rocchio,677587,-0.009098982583704833,115.47867403692686
159,Bryson Stott,681082,-0.009220371188903615,114.85547579235029
158,Willson Contreras,575929,-0.00930422588921531,114.42497325919929
157,Matt Chapman,656305,-0.00930789795530987,114.4061212002243
156,Jarren Duran,680776,-0.009335450999247163,114.26466633643092
155,Ha-Seong Kim,673490,-0.009444129370765652,113.70672129502564
154,Josh Smith,669701,-0.009561160892860467,113.10589192549645
153,Ryan Jeffers,680777,-0.009566364589653573,113.07917661147285
152,Brendan Rodgers,663898,-0.009586339472294128,112.97662735014117
151,Bo Naylor,666310,-0.009631852731268929,112.74296634833951
150,Taylor Ward,621493,-0.009750995138792302,112.1312998817745
149,Brice Turang,668930,-0.009763462652718827,112.06729278011515
148,Ryan McMahon,641857,-0.009776121185745999,112.00230500347394
147,Bryan Reynolds,668804,-0.009900644639930005,111.363012724524
146,Ketel Marte,606466,-0.009909730268893921,111.31636791785607
145,Ezequiel Tovar,678662,-0.009930317806783735,111.21067333925805
144,Anthony Santander,623993,-0.00994388351607107,111.14102820081644
143,Mark Canha,592192,-0.010066128973140524,110.51343095535515
