,full_name,batter,y_pred,take_rv
231,Kyle Tucker,663656,0.051794518,146.88034
230,Brandon Nimmo,607043,0.048721634,135.44702
229,LaMonte Wade,664774,0.048705645,135.38751
228,Bryce Harper,547180,0.048587937,134.94955
227,DJ Stewart,621466,0.047855034,132.22264
226,Joc Pederson,592626,0.04683691,128.4345
225,Juan Soto,665742,0.04636179,126.6667
224,Aaron Judge,592450,0.04596233,125.18043
223,Josh Naylor,647304,0.04590782,124.97762
222,Jorge Polanco,593871,0.04582778,124.67981
221,William Contreras,661388,0.045815066,124.6325
220,Gavin Sheets,657757,0.045648348,124.01219
219,Marcell Ozuna,542303,0.04541368,123.13906
218,Willson Contreras,575929,0.04532261,122.80021
217,Mike Tauchman,643565,0.045269452,122.60243
216,Freddie Freeman,518692,0.04526657,122.591705
215,Andrew McCutchen,457705,0.045222852,122.42905
214,Joey Gallo,608336,0.04513809,122.11367
213,José Altuve,514888,0.04501965,121.67298
212,Jon Singleton,572138,0.045003526,121.61299
211,Carlos Correa,621043,0.0449561,121.43654
210,Bryan Reynolds,668804,0.04469348,120.45941
209,Ronald Acuña,660670,0.044669185,120.36901
208,Ryan O'Hearn,656811,0.04466238,120.34369
207,JJ Bleday,668709,0.04463193,120.230385
206,Christian Walker,572233,0.044552784,119.93591
205,Nolan Gorman,669357,0.04442435,119.45805
204,Mike Yastrzemski,573262,0.044370145,119.25636
203,Max Muncy,571970,0.044284757,118.93866
202,Vladimir Guerrero,665489,0.044218846,118.69342
201,Corey Seager,608369,0.044152226,118.44556
200,Jared Triolo,669707,0.04387249,117.40474
199,Colton Cowser,681297,0.043861143,117.36252
198,Leody Taveras,665750,0.043761816,116.99295
197,Mookie Betts,605141,0.04372125,116.84202
196,Riley Greene,682985,0.043519847,116.09265
195,Trey Lipscomb,702358,0.043438554,115.790184
194,Jurickson Profar,595777,0.043342024,115.43102
193,Jake Cronenworth,630105,0.04333478,115.40406
192,Rafael Devers,646240,0.043207284,114.929695
191,Charlie Blackmon,453568,0.043134682,114.65956
190,Vinnie Pasquantino,686469,0.043049883,114.34405
189,Joey Ortiz,687401,0.042948917,113.96838
188,Travis d'Arnaud,518595,0.042885475,113.73233
187,Austin Riley,663586,0.042880654,113.7144
186,Wilyer Abreu,677800,0.042812973,113.46258
185,Ian Happ,664023,0.042661913,112.90052
184,Dylan Moore,664238,0.04259806,112.66295
183,Gabriel Moreno,672515,0.042593032,112.64424
182,Cody Bellinger,641355,0.042589452,112.63092
181,Shohei Ohtani,660271,0.042563576,112.53464
180,Spencer Steer,668715,0.042529766,112.408844
179,Cal Raleigh,663728,0.042436462,112.06168
178,Willy Adames,642715,0.042430542,112.03966
177,Isaac Paredes,670623,0.042427287,112.02754
176,Mark Canha,592192,0.042376537,111.83872
175,Jazz Chisholm,665862,0.042252667,111.37784
174,Lars Nootbaar,663457,0.042212386,111.22796
173,Randy Arozarena,668227,0.04203656,110.57376
172,Jonathan India,663697,0.042002596,110.447395
171,Anthony Volpe,683011,0.041824006,109.78291
170,Alex Verdugo,657077,0.04181226,109.739204
169,Jake Rogers,668670,0.04175736,109.53494
168,Kyle Schwarber,656941,0.0417312,109.43761
167,Brent Rooker,667670,0.04171469,109.37618
